,repo_name,star,fork,watch,issue,tags,description,contributers,license,repo_url,most_used_lang
1226,machine-learning-for-software-engineers,0,1,0,0,[],A complete daily plan for studying to become a machine learning engineer.,16,cc-by-sa-4.0,https://github.com/bs/machine-learning-for-software-engineers.git,
1227,markdown-portfolio,0,0,0,1,[],,2,mit,https://github.com/bs/markdown-portfolio.git,
1228,my-mac-os,0,0,0,0,[],List of applications and tools that make my macOS experience even more amazing,4,mit,https://github.com/bs/my-mac-os.git,
1229,oss-enterprise,0,0,0,1,[],,1,cc-by-4.0,https://github.com/bs/oss-enterprise.git,
1230,p5.js-sound,0,0,0,0,[],p5.sound brings the Processing approach to Web Audio and p5.js. Demos:,30,mit,https://github.com/bs/p5.js-sound.git,
1231,pleasejobme,2,0,2,1,[],A project to help people connect with Twitter Employees at SxSW.,1,,https://github.com/bs/pleasejobme.git,JavaScript
1232,shields,0,0,0,0,[],"Concise, consistent, and legible badges in SVG and raster format",30,cc0-1.0,https://github.com/bs/shields.git,
1233,signal-muon,0,0,0,0,[],Signal Desktop using https://github.com/brave/muon instead of Chrome. Not affiliated with WhisperSystems.,6,mpl-2.0,https://github.com/bs/signal-muon.git,JavaScript
1234,SmartThingsPublic,0,0,0,0,[],,30,,https://github.com/bs/SmartThingsPublic.git,Groovy
1235,starling,22,3,22,1,[],Starling Message Queue,0,mit,https://github.com/bs/starling.git,Ruby
1236,TiddlyWiki5,0,0,0,0,[],"A self-contained JavaScript wiki for the browser, Node.js, AWS Lambda etc.",30,other,https://github.com/bs/TiddlyWiki5.git,
1237,vscode,0,0,0,0,[],Visual Studio Code,30,mit,https://github.com/bs/vscode.git,
1238,wikish,2,1,2,0,[],A wiki-ish collection of thoughts and feelings,1,,https://github.com/bs/wikish.git,
1239,actionview-fields_for_with_template,1,0,1,0,[],Adds fields_for_with_template method for use in views where JS is used to add/remove fields,3,mit,https://github.com/collectiveidea/actionview-fields_for_with_template.git,Ruby
1240,action_mailer_optional_tls,129,26,129,0,[],Enables TLS on SMTP connections (for services like GMail),4,,https://github.com/collectiveidea/action_mailer_optional_tls.git,Ruby
1241,active_merchant,4,0,4,0,[],"Active Merchant is a simple payment abstraction library used in and sponsored by Shopify. It is written by Tobias Luetke, Cody Fauser, and contributors. The aim of the project is to feel natural to Ruby users and to abstract as many parts as possible away from the user to offer a consistent interface across all supported gateways.",10,mit,https://github.com/collectiveidea/active_merchant.git,Ruby
1242,active_resource_throttle,1,1,1,0,[],A throttler for ActiveResource requests.,1,other,https://github.com/collectiveidea/active_resource_throttle.git,Ruby
1243,acts-as-taggable-on,4,2,4,0,[],A tagging plugin for Rails applications that allows for custom tagging along dynamic contexts.,6,mit,https://github.com/collectiveidea/acts-as-taggable-on.git,Ruby
1244,acts_as_audited,4,1,4,0,[],acts_as_audited is now… Audited.,1,,https://github.com/collectiveidea/acts_as_audited.git,
1245,acts_as_geocodable,202,40,202,2,[],Simple geocoding for Active Record models,7,other,https://github.com/collectiveidea/acts_as_geocodable.git,Ruby
1246,acts_as_money,44,15,44,0,[],an Active Record plugin that makes it easier to work with the money gem,2,,https://github.com/collectiveidea/acts_as_money.git,Ruby
1247,adapter-simpledb,3,1,3,0,[],An adapter for Amazon's SimpleDB,1,,https://github.com/collectiveidea/adapter-simpledb.git,Ruby
1248,address_book,0,0,0,0,[],A demo for teaching RSpec concepts,1,,https://github.com/collectiveidea/address_book.git,Ruby
1249,apnotic,0,2,0,0,[],A Ruby APNs HTTP/2 gem able to provide instant feedback.,15,mit,https://github.com/collectiveidea/apnotic.git,
1250,ARPlaneDetector,20,4,20,0,[],"Use ARKit to find, and visualize horizontal and vertical planes.",1,,https://github.com/collectiveidea/ARPlaneDetector.git,Swift
1251,ARtistry,0,1,0,0,[],AR drawing demonstration app.,1,,https://github.com/collectiveidea/ARtistry.git,Swift
1252,attribute_fu,3,0,3,0,[],rails multi-model forms made easy!,3,mit,https://github.com/collectiveidea/attribute_fu.git,Ruby
1253,audit-demo,6,0,6,0,[],Demo application for acts_as_audited,1,,https://github.com/collectiveidea/audit-demo.git,
